Date,Close,prediction,prediction_scaled,signal,order,order_cash,holdings,Cash,portfolio_value,signal_2,order_2,holdings_2,Cash_2,portfolio_value_2
2024-07-02 04:00:00,1043.5299072265625,1,-1,0,0,10,0,102632.49084472656,102632.49084472656,1,0,10,93299.6875,103734.98657226562
2024-07-03 04:00:00,1066.9520263671875,0,0,0,0,10,0,102632.49084472656,102632.49084472656,1,0,10,93299.6875,103969.20776367188
2024-07-05 04:00:00,1070.00927734375,0,0,0,0,10,0,102632.49084472656,102632.49084472656,1,0,10,93299.6875,103999.7802734375
2024-07-08 04:00:00,1072.9072265625,0,0,0,0,10,0,102632.49084472656,102632.49084472656,1,0,10,93299.6875,104028.759765625
2024-07-09 04:00:00,1055.5595703125,2,1,1,1,10,10,92076.89514160156,102632.49084472656,1,0,10,93299.6875,103855.283203125
2024-07-10 04:00:00,1094.37744140625,0,0,1,0,10,10,92076.89514160156,103020.66955566406,1,0,10,93299.6875,104243.4619140625
2024-07-11 04:00:00,1058.0791015625,2,1,1,0,10,10,92076.89514160156,102657.68615722656,1,0,10,93299.6875,103880.478515625
2024-07-12 04:00:00,1080.744384765625,2,1,1,0,10,10,92076.89514160156,102884.33898925781,1,0,10,93299.6875,104107.13134765625
2024-07-15 04:00:00,1059.2044677734375,2,1,1,0,10,10,92076.89514160156,102668.93981933594,1,0,10,93299.6875,103891.73217773438
2024-07-16 04:00:00,1063.745361328125,2,1,1,0,10,10,92076.89514160156,102714.34875488281,1,0,10,93299.6875,103937.14111328125
2024-07-17 04:00:00,928.1818237304688,2,1,1,0,10,10,92076.89514160156,101358.71337890625,1,0,10,93299.6875,102581.50573730469
2024-07-18 04:00:00,920.3047485351562,2,1,1,0,10,10,92076.89514160156,101279.94262695312,1,0,10,93299.6875,102502.73498535156
2024-07-19 04:00:00,891.6444702148438,2,1,1,0,10,10,92076.89514160156,100993.33984375,1,0,10,93299.6875,102216.13220214844
